date,close,index
2011-04-01,35.67018508911133,EEM (Emerging Markets)
2011-04-04,35.97314453125,EEM (Emerging Markets)
2011-04-05,35.90102005004883,EEM (Emerging Markets)
2011-04-06,36.09578323364258,EEM (Emerging Markets)
2011-04-07,36.05971145629883,EEM (Emerging Markets)
2011-04-08,36.09578323364258,EEM (Emerging Markets)
2011-04-11,35.67018508911133,EEM (Emerging Markets)
2011-04-12,34.99935531616211,EEM (Emerging Markets)
2011-04-13,35.287879943847656,EEM (Emerging Markets)
2011-04-14,35.39607620239258,EEM (Emerging Markets)
2011-04-15,35.439369201660156,EEM (Emerging Markets)
2011-04-18,34.5521125793457,EEM (Emerging Markets)
2011-04-19,35.04983901977539,EEM (Emerging Markets)
2011-04-20,35.87937927246094,EEM (Emerging Markets)
2011-04-21,36.196754455566406,EEM (Emerging Markets)
2011-04-25,35.90102005004883,EEM (Emerging Markets)
2011-04-26,36.2111930847168,EEM (Emerging Markets)
2011-04-27,36.146270751953125,EEM (Emerging Markets)
2011-04-28,35.85051727294922,EEM (Emerging Markets)
2011-04-29,36.066917419433594,EEM (Emerging Markets)
2011-05-02,36.074134826660156,EEM (Emerging Markets)
2011-05-03,35.27346420288086,EEM (Emerging Markets)
2011-05-04,34.68915939331055,EEM (Emerging Markets)
2011-05-05,34.35734558105469,EEM (Emerging Markets)
2011-05-06,34.804588317871094,EEM (Emerging Markets)
2011-05-09,34.86949920654297,EEM (Emerging Markets)
2011-05-10,35.28066635131836,EEM (Emerging Markets)
2011-05-11,34.501625061035156,EEM (Emerging Markets)
2011-05-12,34.60260772705078,EEM (Emerging Markets)
2011-05-13,33.84519958496094,EEM (Emerging Markets)
2011-05-16,33.79471206665039,EEM (Emerging Markets)
2011-05-17,33.90290832519531,EEM (Emerging Markets)
2011-05-18,34.45112991333008,EEM (Emerging Markets)
2011-05-19,34.227508544921875,EEM (Emerging Markets)
2011-05-20,33.953407287597656,EEM (Emerging Markets)
2011-05-23,33.246498107910156,EEM (Emerging Markets)
2011-05-24,33.578311920166016,EEM (Emerging Markets)
2011-05-25,33.65044021606445,EEM (Emerging Markets)
2011-05-26,34.08324432373047,EEM (Emerging Markets)
2011-05-27,34.443912506103516,EEM (Emerging Markets)
2011-05-31,35.006561279296875,EEM (Emerging Markets)
2011-06-01,34.37898635864258,EEM (Emerging Markets)
2011-06-02,34.70358657836914,EEM (Emerging Markets)
2011-06-03,34.53046798706055,EEM (Emerging Markets)
2011-06-06,33.97504425048828,EEM (Emerging Markets)
2011-06-07,34.241947174072266,EEM (Emerging Markets)
2011-06-08,33.9966926574707,EEM (Emerging Markets)
2011-06-09,34.263580322265625,EEM (Emerging Markets)
2011-06-10,33.52060317993164,EEM (Emerging Markets)
2011-06-13,33.4629020690918,EEM (Emerging Markets)
2011-06-14,33.96783447265625,EEM (Emerging Markets)
2011-06-15,33.23928451538086,EEM (Emerging Markets)
2011-06-16,32.9868049621582,EEM (Emerging Markets)
2011-06-17,33.03009033203125,EEM (Emerging Markets)
2011-06-20,32.9796028137207,EEM (Emerging Markets)
2011-06-21,33.58551788330078,EEM (Emerging Markets)
2011-06-22,33.25111770629883,EEM (Emerging Markets)
2011-06-23,33.207401275634766,EEM (Emerging Markets)
2011-06-24,33.14912033081055,EEM (Emerging Markets)
2011-06-27,33.535247802734375,EEM (Emerging Markets)
2011-06-28,33.99424362182617,EEM (Emerging Markets)
2011-06-29,34.30752182006836,EEM (Emerging Markets)
2011-06-30,34.679080963134766,EEM (Emerging Markets)
2011-07-01,35.08707809448242,EEM (Emerging Markets)
2011-07-05,35.07249069213867,EEM (Emerging Markets)
2011-07-06,34.83936309814453,EEM (Emerging Markets)
2011-07-07,35.3202018737793,EEM (Emerging Markets)
2011-07-08,34.91950225830078,EEM (Emerging Markets)
2011-07-11,33.943233489990234,EEM (Emerging Markets)
2011-07-12,33.60081481933594,EEM (Emerging Markets)
2011-07-13,34.1472282409668,EEM (Emerging Markets)
2011-07-14,33.78295135498047,EEM (Emerging Markets)
2011-07-15,33.99424362182617,EEM (Emerging Markets)
2011-07-18,33.60081481933594,EEM (Emerging Markets)
2011-07-19,34.08896255493164,EEM (Emerging Markets)
2011-07-20,34.19094467163086,EEM (Emerging Markets)
2011-07-21,34.737361907958984,EEM (Emerging Markets)
2011-07-22,34.71550750732422,EEM (Emerging Markets)
2011-07-25,34.64265060424805,EEM (Emerging Markets)
2011-07-26,34.75921630859375,EEM (Emerging Markets)
2011-07-27,34.1472282409668,EEM (Emerging Markets)
2011-07-28,34.17638397216797,EEM (Emerging Markets)
2011-07-29,34.32210159301758,EEM (Emerging Markets)
2011-08-01,34.29294967651367,EEM (Emerging Markets)
2011-08-02,33.236549377441406,EEM (Emerging Markets)
2011-08-03,33.1199836730957,EEM (Emerging Markets)
2011-08-04,31.225736618041992,EEM (Emerging Markets)
2011-08-05,31.021739959716797,EEM (Emerging Markets)
2011-08-08,28.435386657714844,EEM (Emerging Markets)
2011-08-09,30.103769302368164,EEM (Emerging Markets)
2011-08-10,28.508243560791016,EEM (Emerging Markets)
2011-08-11,30.081905364990234,EEM (Emerging Markets)
2011-08-12,30.067350387573242,EEM (Emerging Markets)
2011-08-15,30.76675033569336,EEM (Emerging Markets)
2011-08-16,30.504472732543945,EEM (Emerging Markets)
2011-08-17,30.72303581237793,EEM (Emerging Markets)
2011-08-18,29.273221969604492,EEM (Emerging Markets)
2011-08-19,28.90894889831543,EEM (Emerging Markets)
2011-08-22,28.879804611206055,EEM (Emerging Markets)
2011-08-23,29.892499923706055,EEM (Emerging Markets)
2011-08-24,29.601064682006836,EEM (Emerging Markets)
2011-08-25,29.025522232055664,EEM (Emerging Markets)
2011-08-26,29.520931243896484,EEM (Emerging Markets)
2011-08-29,30.475332260131836,EEM (Emerging Markets)
2011-08-30,30.519044876098633,EEM (Emerging Markets)
2011-08-31,31.145599365234375,EEM (Emerging Markets)
2011-09-01,30.97803497314453,EEM (Emerging Markets)
2011-09-02,30.278621673583984,EEM (Emerging Markets)
2011-09-06,29.96533966064453,EEM (Emerging Markets)
2011-09-07,30.85418128967285,EEM (Emerging Markets)
2011-09-08,30.169343948364258,EEM (Emerging Markets)
2011-09-09,29.14936065673828,EEM (Emerging Markets)
2011-09-12,29.091083526611328,EEM (Emerging Markets)
2011-09-13,29.134801864624023,EEM (Emerging Markets)
2011-09-14,29.05465316772461,EEM (Emerging Markets)
2011-09-15,29.477216720581055,EEM (Emerging Markets)
2011-09-16,29.528215408325195,EEM (Emerging Markets)
2011-09-19,28.65395736694336,EEM (Emerging Markets)
2011-09-20,28.44267463684082,EEM (Emerging Markets)
2011-09-21,27.38627052307129,EEM (Emerging Markets)
2011-09-22,25.462894439697266,EEM (Emerging Markets)
2011-09-23,26.140453338623047,EEM (Emerging Markets)
2011-09-26,26.53386878967285,EEM (Emerging Markets)
2011-09-27,27.378992080688477,EEM (Emerging Markets)
2011-09-28,26.555727005004883,EEM (Emerging Markets)
